6,7
5,7
7,8
10,8
9,16
9,16
1,20
3,20
3,21
8,21
4,26
2,26
1,30
3,30
7,31
10,31
10,36
4,36
2,40
6,40
5,41
5,41
2,45
4,45
1,45
6,45
7,46
5,46
6,51
5,51
1,55
8,55
5,56
8,56
9,56
1,60
3,60
4,60
2,61
10,61
7,61
9,66
4,66
3,66
8,66
1,66
8,66
6,70
4,70
4,70
4,70
8,70
6,70
9,71
6,71
1,71
8,75
6,75
4,75
8,86
5,86
8,86
4,86
8,86
3,86
1,91
2,91
8,91
3,93
3,93
2,93
3,96
1,96
9,96
4,96
7,96
4,96
10,98
4,98
1,98
1,101
9,101
8,101
9,103
4,103
10,103
1,103
8,103
2,103
4,106
8,106
4,106
8,108
6,108
6,108
6,111
4,111
6,111
1,111
7,111
2,111
6,113
10,113
5,113
5,116
4,116
6,116
8,116
2,116
1,116
7,118
8,118
8,118
6,121
3,121
3,121
6,121
3,121
1,121
5,123
8,123
2,123
3,123
3,123
6,123
