470,47
670,67
580,58
700,70
100,10
330,33
630,63
70,7
60,6
790,79
500,50
30,3
570,57
870,88
460,46
20,2
620,62
340,34
290,29
600,60
370,37
260,26
390,39
650,65
80,8
420,42
430,43
960,96
130,13
140,14
910,91
160,16
170,17
180,18
40,4
610,61
350,35
770,77
270,27
240,24
660,66
860,86
280,28
200,20
800,80
210,21
640,64
300,30
360,36
830,83
250,25
10,1
120,12
690,69
710,71
810,81
380,38
90,9
740,74
150,15
440,44
530,53
450,45
1050,105
480,48
590,59
490,49
1030,103
520,52
540,54
820,82
560,56
310,31
680,68
720,72
920,92
930,93
940,94
950,95
320,32
970,97
990,99
980,98
1000,100
110,11
230,23
50,5
1040,104
410,41
900,90
890,89
220,22
1020,102
1010,101
850,85
840,84
190,19
550,55
730,73
400,40
510,51
780,78
880,87
760,76
750,75
