3,12,1,2,7
8,2,1,0,7
8,9,3,1,8
6,9,3,1,8
7,20,4,3,9
8,1,0,0,9
10,16,0,3,58
1,17,1,3,58
3,20,4,3,61
8,13,2,2,61
5,13,2,2,62
4,2,1,0,62
2,1,0,0,66
1,16,0,3,66
1,13,2,2,69
9,17,1,3,69
8,3,2,0,70
6,20,4,3,70
4,14,3,2,74
9,19,3,3,74
1,14,3,2,77
1,19,3,3,77
4,6,0,1,78
8,15,4,2,78
9,18,2,3,82
10,7,1,1,82
7,3,2,0,85
6,5,4,0,85
3,1,0,0,86
8,17,1,3,86
8,14,3,2,90
5,3,2,0,90
2,15,4,2,99
4,9,3,1,99
2,9,3,1,100
4,4,3,0,100
8,8,2,1,104
9,8,2,1,104
10,14,3,2,105
4,16,0,3,105
10,17,1,3,109
10,6,0,1,109
6,14,3,2,110
8,5,4,0,110
2,19,3,3,114
2,10,4,1,114
3,15,4,2,115
5,17,1,3,115
9,6,0,1,119
3,19,3,3,119
8,16,0,3,119
7,7,1,1,119
3,18,2,3,120
1,7,1,1,120
3,11,0,2,125
4,5,4,0,125
4,12,1,2,130
6,11,0,2,130
7,17,1,3,131
9,15,4,2,131
6,18,2,3,135
5,7,1,1,135
10,2,1,0,139
9,2,1,0,139
7,8,2,1,143
2,6,0,1,143
4,11,0,2,147
4,13,2,2,147
