430,43
190,19
640,64
290,29
410,41
140,14
110,11
90,9
520,52
620,32
630,63
170,17
80,8
750,75
120,12
780,78
710,71
740,74
620,62
560,56
450,45
690,69
720,72
180,18
470,47
380,38
500,50
650,65
540,54
70,7
550,55
240,24
660,66
210,21
490,49
230,23
160,16
600,60
510,51
300,30
670,67
350,35
200,20
220,22
460,46
790,79
330,33
360,36
760,76
800,80
60,6
530,53
20,2
590,59
420,42
50,5
700,70
250,25
400,40
610,61
280,28
680,68
30,3
730,73
340,34
150,15
770,31
370,37
100,10
260,26
480,48
10,1
770,77
580,58
570,57
440,44
130,13
40,4
270,27
390,39
