id,Tempo Construção Inicial,V. FO Inicial,Rel. Prof x Turm,Rel. Prof x Dia,Tempo Final,V. FO Final,Rel. Prof x Turm,Rel. Prof x Dia,Qnt vzs melhorei a FO, Qnt. Turmas,Qnt. Professores, Qnt  feito refinamento , Iteração da m Solução ,  Qnt de pos que prof x Turma , Qnt de pos que prof x dias, status
1,0.001426,28,0,28,22.792755,26,2,24,2,30,30,1,4,123,123,Inviável
2,0.000243,9,0,9,18.806871,9,0,9,0,40,40,0,0,164,164,Viável
3,0.000329,10,0,10,26.094496,10,0,10,0,50,50,0,0,205,205,Viável
4,0.000486,15,0,15,36.997334,13,2,11,2,60,60,2,30,246,246,Inviável
5,0.000438,10,0,10,42.875580,9,1,8,1,70,70,2,310,287,287,Inviável
6,0.000743,24,0,24,59.475792,23,2,21,1,80,80,2,291,328,328,Inviável
7,0.001255,29,0,29,78.286156,28,1,27,1,90,90,2,94,369,369,Inviável
8,0.001056,25,0,25,83.741043,24,1,23,1,100,100,1,6,410,410,Inviável
9,0.000841,19,0,19,85.609924,19,0,19,0,110,110,0,0,451,451,Viável
10,0.000672,5,0,5,84.284988,4,1,3,1,120,120,3,12,492,492,Inviável
11,0.001804,39,0,39,137.694717,38,1,37,1,130,130,2,366,533,533,Inviável
12,0.001520,31,0,31,145.424835,30,1,29,1,140,140,3,160,574,574,Inviável
13,0.001592,32,0,32,152.756744,31,1,30,1,150,150,3,63,615,615,Inviável
14,0.002289,38,0,38,189.881729,37,1,36,1,160,160,3,382,656,656,Inviável
15,0.003071,55,0,55,216.660736,54,1,53,1,170,170,2,18,697,697,Inviável
16,0.003474,59,0,59,235.531021,58,1,57,1,180,180,3,48,738,738,Inviável
17,0.028859,57,0,57,254.345139,56,3,53,1,190,190,1,59,779,779,Inviável
18,0.002072,29,0,29,242.524323,27,2,25,2,200,200,1,63,820,820,Inviável
19,0.003580,50,0,50,287.886963,49,1,48,1,210,210,3,74,861,861,Inviável
20,0.002657,42,0,42,286.970612,41,1,40,1,220,220,3,320,902,902,Inviável
21,0.003790,54,0,54,337.872253,54,0,54,0,230,230,0,0,943,943,Viável
22,0.003304,54,0,54,355.263702,53,1,52,1,240,240,3,89,984,984,Inviável
23,0.002372,19,0,19,320.845337,19,0,19,0,250,250,0,0,1025,1025,Viável
24,0.029260,74,0,74,453.603424,73,1,72,1,260,260,3,94,1066,1066,Inviável
25,0.090229,83,0,83,462.146088,82,1,81,1,270,270,3,12,1107,1107,Inviável
26,0.003067,27,0,27,409.255615,27,0,27,0,280,280,0,0,1148,1148,Viável
27,0.003932,43,0,43,459.328003,43,0,43,0,290,290,0,0,1189,1189,Viável
28,0.003538,34,0,34,467.544495,33,1,32,1,300,300,3,250,1230,1230,Inviável
29,0.070469,87,0,87,620.392029,86,1,85,1,310,310,3,8,1271,1271,Inviável
